t,vs,vm,s,pm,pd,method
1978,-2.070053746007954,-1.51376475913199,0.28167996923679545,0.10502933062754538,0.019446771883289953,DT
1979,-2.034502364633035,-1.4881582702677676,0.2839261625677044,0.10443524067349164,0.01966986340248031,DT
1980,-1.9992582265629801,-1.4626608720930785,0.28622181226424126,0.10388834212872211,0.019919623038107674,DT
1981,-1.9643154188244982,-1.4372722765954462,0.2885872342803541,0.10340124138690232,0.02020596770077842,DT
1982,-1.9296683564544344,-1.4119922774606026,0.290898240932127,0.10291224831243884,0.02047905845225587,DT
1983,-1.8953117663996872,-1.3868207459774071,0.2931566128019758,0.10242136854635753,0.02073916394470671,DT
1984,-1.8612406721235426,-1.3617576270336373,0.2953640484292243,0.10192860911005985,0.020986544533113563,DT
1985,-1.82745037887737,-1.336802935199342,0.2975221615194444,0.1014339801639269,0.021221451916353495,DT
1986,-1.7939364595995853,-1.3119567508947447,0.29963249310279894,0.10093749340201807,0.02144413049287376,DT
1987,-1.760694741406688,-1.2872192166400893,0.3016965082093851,0.1004391638826605,0.021654817020881734,DT
1988,-1.7277212926436534,-1.2625905333849836,0.30371560645707135,0.09993900858140181,0.021853741790275417,DT
1989,-1.6950124104634727,-1.2380709569152206,0.30588365405567314,0.09953095161824432,0.02212223567554509,DT
1990,-1.6625646089078205,-1.2136607943351936,0.3080087448076856,0.09912421265961457,0.022381548970122525,DT
1991,-1.6303746074628722,-1.1893604006243486,0.3100878378973052,0.09871669294874208,0.02263006257603882,DT
1992,-1.598439320066278,-1.1651701752663048,0.3121222631609863,0.09830842020654362,0.022867992254854284,DT
1993,-1.5667558445430465,-1.141090558949518,0.3141132877641992,0.09789942497548976,0.023095548092571038,DT
1994,-1.5353214524497558,-1.1171220303385208,0.3160621253085416,0.0974897394769545,0.023312935542354182,DT
1995,-1.5041335793080328,-1.093265102915022,0.31796993501985893,0.09707939841117896,0.023520355311594847,DT
1996,-1.473189815209696,-1.0695203218882519,0.3198378255988133,0.09666843878803222,0.023718003804145883,DT
1997,-1.442487895777265,-1.0458882611741513,0.32166685891988667,0.09625689972142093,0.023906073533070105,DT
1998,-1.4120256934647362,-1.0223695204431134,0.3234698023276598,0.09585032297882412,0.024089843842606422,DT
1999,-1.381801209184734,-0.9989647222361471,0.3253922928423973,0.09551779638227675,0.02433320826267785,DT
2000,-1.3518125642491203,-0.9756745091494292,0.3272747428942279,0.09518536794165244,0.0245676887181347,DT
1950,-3.2289072098787144,-2.27973033723399,0.18417899677968527,0.13356821763337723,0.010802531789972591,CT
1951,-3.180302320134309,-2.2504675202199156,0.18701373803752241,0.13231743745029156,0.011080394484746736,CT
1952,-3.132404461933371,-2.2213756781369067,0.18986368770687373,0.13110387784640576,0.011363767134577318,CT
1953,-3.085186831292631,-2.192450004993831,0.19267120135016702,0.12991470260523486,0.011637421955432825,CT
1954,-3.0386240304945504,-2.1636859572561797,0.1954360605391535,0.1287497414638109,0.011901625026268126,CT
1955,-2.9926919895035735,-2.135079243623764,0.19823111426155532,0.1276211949234909,0.012175427264154326,CT
1956,-2.947367892568455,-2.10662581525503,0.20107748956061022,0.1265309484793179,0.012464176367470103,CT
1957,-2.902630109607008,-2.0783218564099712,0.20388147035165272,0.12546232470402896,0.012743880965176535,CT
1958,-2.858458132004531,-2.0501637754853723,0.20664292871874362,0.1244151445931907,0.013014773921204315,CT
1959,-2.814832512488783,-2.0221481964178674,0.20936172939880757,0.12338923278939251,0.013277082174726118,CT
1960,-2.7717348087730804,-1.9942719504320383,0.21217415453971913,0.12240210907779991,0.013564683188254212,CT
1961,-2.7291475306849335,-1.966532068112127,0.2149754322025315,0.12143822255595049,0.01385148302713668,CT
1962,-2.6870540905212548,-1.9389257717774913,0.21773476350966797,0.12049324684553919,0.014130056476783226,CT
1963,-2.6454387563926263,-1.9114504681431685,0.2204520708519467,0.11956701507974099,0.014400598848020696,CT
1964,-2.6042866083384304,-1.8841037412482047,0.22312727726180162,0.11865936159572588,0.014663300998581597,CT
1965,-2.5635834970125297,-1.8568833456355365,0.2258805641566798,0.11778185957276788,0.014946939525902536,CT
1966,-2.523316004755244,-1.8297871997682646,0.22863811678599255,0.11692564113585324,0.015233725991405045,CT
1967,-2.4834714088820573,-1.8028133796682435,0.23135462846222538,0.11608590278726338,0.015512998752277518,CT
1968,-2.444037647033116,-1.7759601127638152,0.23403010432246202,0.11526248072435474,0.01578492456745062,CT
1969,-2.4050032844395672,-1.7492257719343902,0.23666443150797178,0.11445524904424575,0.01604965438933259,CT
1970,-2.366357482974406,-1.722608869740491,0.23927331670691804,0.11366517287183875,0.016310960653795004,CT
1971,-2.3280899718653894,-1.6961080528285832,0.24198822820268942,0.1129007064616856,0.016599002947277675,CT
1972,-2.2901910199573927,-1.6697220965008204,0.24466334202705553,0.11215058133580513,0.016880160959948043,CT
1973,-2.252651409419922,-1.6434498994404856,0.24729865030487885,0.11141466445409809,0.01715456872642107,CT
1974,-2.215462410803606,-1.6172904785846045,0.2498941514378463,0.11069282259235791,0.017422357740977334,CT
1975,-2.178615759356795,-1.5912429641358188,0.25244989108635735,0.10998491108441688,0.017683661147342766,CT
1976,-2.1421036325199703,-1.5653065947061653,0.25496580179765965,0.10929081827040688,0.01793859739586734,CT
1977,-2.105918628522019,-1.5394807125860321,0.25757486442472266,0.10861608468312356,0.018216683926976396,CT
1978,-2.070053746007954,-1.51376475913199,0.26017050201436964,0.10795487537209658,0.018494090924317974,CT
1979,-2.034502364633035,-1.4881582702677676,0.2627277695925479,0.10730593921772791,0.0187653864813222,CT
1980,-1.9992582265629801,-1.4626608720930785,0.26524679951113456,0.1066691330389612,0.0190306878373796,CT
1981,-1.9643154188244982,-1.4372722765954462,0.2677273328832168,0.10604441392018904,0.019290068558667772,CT
1982,-1.9296683564544344,-1.4119922774606026,0.2701698374677811,0.10543155742359078,0.01954367568656179,CT
1983,-1.8953117663996872,-1.3868207459774071,0.2725741248038822,0.10483050603963895,0.01979158505161782,CT
1984,-1.8612406721235426,-1.3617576270336373,0.27506916660285113,0.10424368564936304,0.020061409849768674,CT
1985,-1.82745037887737,-1.336802935199342,0.2775501131559125,0.10366799520228187,0.020330528537930603,CT
1986,-1.7939364595995853,-1.3119567508947447,0.27999435535717937,0.10310282592984266,0.020594170422078673,CT
1987,-1.760694741406688,-1.2872192166400893,0.2824019249772127,0.10254808178987562,0.02085241700869578,CT
1988,-1.7277212926436534,-1.2625905333849836,0.2847728649405943,0.10200366549402706,0.02110534895313121,CT
1989,-1.6950124104634727,-1.2380709569152206,0.2871072295184731,0.10146947851506094,0.021353046083685934,CT
1990,-1.6625646089078205,-1.2136607943351936,0.2894050857550173,0.10094542081143465,0.02159558755687041,CT
1991,-1.6303746074628722,-1.1893604006243486,0.2916665137266396,0.10043139082051356,0.021833051887665045,CT
1992,-1.598439320066278,-1.1651701752663048,0.2940317002019134,0.0999270729521613,0.022094354870464405,CT
1993,-1.5667558445430465,-1.141090558949518,0.29636552622914036,0.09943184385885695,0.022351460241963883,CT
1994,-1.5353214524497558,-1.1171220303385208,0.29866431303759877,0.09894561959884074,0.022603661774721617,CT
1995,-1.5041335793080328,-1.093265102915022,0.30092810977485385,0.09846831889383179,0.02285102150383922,CT
1996,-1.473189815209696,-1.0695203218882519,0.30315697770616334,0.09799985907660869,0.023093601175959044,CT
1997,-1.442487895777265,-1.0458882611741513,0.30535099086314754,0.0975401559957888,0.023331462324731267,CT
1998,-1.4120256934647362,-1.0223695204431134,0.3075102362689356,0.09708912400916392,0.023564666300677328,CT
1999,-1.381801209184734,-0.9989647222361471,0.3096348143050533,0.09664667594606924,0.023793274317390645,CT
2000,-1.3518125642491203,-0.9756745091494292,0.31172483897614006,0.096212723089942,0.024017347487557683,CT
